French,English
chercher,search
police,police
pensais,thought
demande,request
mois,month
frère,brother
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
bébé,baby
vont,will
aucune,any
savais,knew
voici,here is
pourrais,could
type,type
leurs,their
donné,given
écoute,listen
dont,whose
trouve,find
premier,first
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
suite,after
pardon,sorry
venez,come
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
aujourd'hui,today
mari,husband
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
